犬种中文名,犬种英文名,体型分级,体重_min_kg,体重_max_kg,精力等级_0to1,推荐最大路线长度_km,耐热性_0to1,坡度容忍_0to1,是否短鼻犬,是否短腿犬,毛发长度,关节风险默认值,别名,备注
金毛寻回犬,Golden Retriever,large,25,34,0.75,5.0,0.5,0.8,否,否,long,medium,金毛、黄金猎犬、金毛犬,友善温顺；6岁后髋关节问题风险上升
拉布拉多寻回犬,Labrador Retriever,large,25,36,0.8,6.0,0.6,0.8,否,否,short,medium,拉布拉多、拉多、拉拉、拉不拉多,精力充沛；易超重，需保持规律运动
德国牧羊犬,German Shepherd Dog,large,22,40,0.85,6.0,0.6,0.85,否,否,medium,medium,德牧、德国狼犬、黑背,工作能力强；髋关节发育不良遗传风险高
萨摩耶,Samoyed,large,16,30,0.75,5.0,0.3,0.75,否,否,long,low,萨摩、微笑天使、萨摩犬,极不耐热；夏季须严格避开高温时段
西伯利亚雪橇犬,Siberian Husky,large,16,27,0.9,7.0,0.35,0.85,否,否,medium,low,哈士奇、二哈、哈、哈斯奇,精力旺盛；耐寒不耐热，需充分运动
阿拉斯加雪橇犬,Alaskan Malamute,large,34,43,0.75,5.0,0.2,0.8,否,否,long,low,阿拉斯加、阿拉、阿拉斯加犬,体型最大；耐热性极差，上海夏季需极度谨慎
秋田犬,Akita,large,32,45,0.6,4.0,0.5,0.75,否,否,medium,medium,秋田、日本秋田,独立性强；中等运动量即可满足需求
杜宾犬,Doberman Pinscher,large,32,45,0.85,6.0,0.65,0.85,否,否,short,low,杜宾、多伯曼,体能强健；需要充足运动释放精力
苏格兰牧羊犬,Rough Collie,large,18,29,0.7,5.0,0.55,0.8,否,否,long,low,苏牧、苏格兰牧羊、长毛牧羊犬、莱西,温和聪慧；毛量大，夏季注意散热
英国史宾格猎犬,English Springer Spaniel,medium,18,25,0.85,5.0,0.6,0.8,否,否,medium,low,史宾格、激飞猎犬、英国激飞猎犬,精力旺盛；嗅觉灵敏，适合植被丰富路线
边境牧羊犬,Border Collie,medium,12,20,0.95,8.0,0.65,0.9,否,否,medium,low,边牧、边境牧羊、边境柯利,精力最旺犬种之一；运动不足易出现行为问题
松狮犬,Chow Chow,medium,20,32,0.45,3.0,0.3,0.6,否,否,long,medium,松狮、熊狮犬,耐热性差；面部结构有轻度呼吸限制
标准贵宾,Standard Poodle,medium,20,32,0.8,5.0,0.65,0.8,否,否,long,low,标贵、标准贵宾犬,聪明运动能力强；适合较长路线
比格犬,Beagle,medium,9,11,0.8,4.0,0.65,0.75,否,否,short,low,比格、猎兔犬、小猎犬、米格鲁,嗅觉极灵敏；适合气味多样的自然路线
英国斗牛犬,English Bulldog,medium,18,25,0.35,1.2,0.1,0.3,是,否,short,high,英斗、英国斗牛、老虎狗,【短鼻】呼吸受限最严重；路线须极短极平
柴犬,Shiba Inu,small,7,11,0.7,4.0,0.6,0.8,否,否,medium,low,柴柴、日本柴犬,独立性强；适合中等长度路线
迷你雪纳瑞,Miniature Schnauzer,small,5,9,0.7,3.0,0.65,0.75,否,否,medium,low,雪纳瑞、小雪、雪纳瑞犬,警觉活泼；适应城市环境
柯基（彭布罗克）,Pembroke Welsh Corgi,small,10,14,0.75,3.5,0.6,0.5,否,是,medium,medium,柯基、威尔士柯基、柯基犬、矮脚犬,【短腿】长背体型；坡度与台阶需谨慎，注意脊椎
法国斗牛犬,French Bulldog,small,8,14,0.55,1.5,0.15,0.4,是,否,short,medium,法斗、法牛、蝙蝠犬、法国斗牛,【短鼻】夏季极易中暑；路线须短且平坦
波士顿梗,Boston Terrier,small,5,11,0.65,2.0,0.35,0.55,是,否,short,low,波士顿犬、波士顿牛头梗,【短鼻】限制略轻于法斗；仍需避开高温
迷你腊肠犬,Miniature Dachshund,small,4,5,0.65,2.0,0.65,0.35,否,是,short,high,腊肠犬、腊肠、香肠犬、热狗犬,【短腿】椎间盘病高风险；严禁爬坡跳跃
比熊犬,Bichon Frise,small,3,5,0.6,2.0,0.6,0.65,否,否,long,low,比熊、比雄犬,温和友善；适合轻松短途路线
西高地白梗,West Highland White Terrier,small,6,10,0.75,3.0,0.6,0.75,否,否,medium,low,西高地、西高白梗、西部高地白梗、白梗,活泼坚韧；梗类天性好奇，喜嗅探
柯卡犬,Cocker Spaniel,small,9,14,0.7,3.5,0.6,0.7,否,否,long,low,可卡犬、可卡、柯卡、可卡猎犬,温和友善；耳部需保持清洁干燥
玩具贵宾（泰迪）,Toy Poodle,toy,2,4,0.65,2.0,0.65,0.6,否,否,long,low,泰迪、贵宾犬、贵宾、玩具贵宾、泰迪犬、卷毛犬,聪明活泼；路线长度以体力为限
马尔济斯犬,Maltese,toy,2,3,0.55,1.5,0.55,0.55,否,否,long,low,马尔济斯、马耳他犬、玛尔济斯,体型娇小；路线不宜过长，避免坡道
约克夏梗,Yorkshire Terrier,toy,2,3,0.65,2.0,0.6,0.6,否,否,long,low,约克夏、约克、约克夏犬,梗类天性活泼；体型限制路线长度上限
吉娃娃,Chihuahua,toy,1.5,3,0.6,1.5,0.55,0.5,否,否,short,low,吉娃、奇瓦瓦,体型最小；骨骼脆弱，路线须平坦无障碍
博美犬,Pomeranian,toy,1.5,3.5,0.65,1.5,0.5,0.6,否,否,long,low,博美、波美拉尼亚、松鼠犬、博美犬,毛量大；夏季注意散热，控制运动时长
巴哥犬,Pug,toy,6,8,0.5,1.2,0.15,0.4,是,否,short,medium,巴哥、八哥犬、哈巴狗、巴哥,【短鼻】与法斗同级别限制；避开一切高温
